1594709458.834583,1594670233.724037,in,3,"2020-07-14 13:07:58",1,1
1594709460.179201,1594670235.074417,in,1,"2020-07-14 13:07:00",1,1
1594709463.107896,1594670238.054198,in,3,"2020-07-14 13:07:03",1,1
1594709465.349748,1594670240.009939,in,1,"2020-07-14 13:07:05",1,1
1594709466.334085,1594670241.319371,in,3,"2020-07-14 13:07:06",1,1
1594709467.168343,1594709466.864000,sys,1,"2020-07-14 13:07:07",-1,-1
1594709470.850622,1594709470.547000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709472.346595,1594670247.170802,in,1,"2020-07-14 13:07:12",1,1
1594709472.733273,1594709472.429000,sys,1,"2020-07-14 13:07:12",-1,-1
1594709473.629628,1594486857.337213,out1,1,"2020-07-14 13:07:13",0,-1
1594709474.317683,1594670249.239989,in,3,"2020-07-14 13:07:14",1,1
1594709475.645265,1594670250.643134,in,3,"2020-07-14 13:07:15",1,1
1594709475.793887,1594670250.617450,in,1,"2020-07-14 13:07:15",1,1
1594709476.860520,1594709476.557000,sys,1,"2020-07-14 13:07:16",-1,-1
1594709478.630683,1594670253.544567,in,3,"2020-07-14 13:07:18",1,1
1594709479.454304,1594670254.089074,in,1,"2020-07-14 13:07:19",1,1
1594709485.101694,1594670260.437034,in,1,"2020-07-14 13:07:25",0,1
1594709486.237496,1594670261.142126,in,1,"2020-07-14 13:07:26",0,1
1594709494.754698,1594670269.462833,in,1,"2020-07-14 13:07:34",1,1
1594709494.910417,1594709494.607000,sys,1,"2020-07-14 13:07:34",-1,-1
1594709508.095286,1594670283.126624,in,3,"2020-07-14 13:07:48",1,1
1594709509.527374,1594709509.526000,sys,1,"2020-07-14 13:07:49",-1,-1
1594709509.551337,1594670284.483303,in,3,"2020-07-14 13:07:49",1,1
1594709509.905783,1594670284.785783,in,1,"2020-07-14 13:07:49",1,1
1594709511.266051,1594709511.264000,sys,1,"2020-07-14 13:07:51",-1,-1
1594709514.453706,1594670289.406605,in,1,"2020-07-14 13:07:54",1,1
1594709518.172843,1594709517.869000,sys,1,"2020-07-14 13:07:58",-1,-1
1594709524.833899,1594709524.530000,sys,1,"2020-07-14 13:07:04",-1,-1
1594709526.393291,1594709526.089000,sys,1,"2020-07-14 13:07:06",-1,-1
1594709528.299086,1594709527.996000,sys,1,"2020-07-14 13:07:08",-1,-1
1594709530.833173,1594709530.530000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709534.489296,1594486918.152702,out1,1,"2020-07-14 13:07:14",-1,-1
1594709534.550528,1594709534.248000,sys,1,"2020-07-14 13:07:14",-1,-1
1594709537.038564,1594709537.036000,sys,1,"2020-07-14 13:07:17",-1,-1
1594709540.244142,1594486923.842245,out1,1,"2020-07-14 13:07:20",-1,-1
1594709542.568048,1594486926.311019,out1,1,"2020-07-14 13:07:22",-1,-1
1594709553.189528,1594670328.247893,in,1,"2020-07-14 13:07:33",1,1
1594709555.138161,1594486939.219286,out1,1,"2020-07-14 13:07:35",0,-1
1594709556.415957,1594486940.185557,out1,1,"2020-07-14 13:07:36",-1,-1
1594709562.917110,1594486946.763742,out1,1,"2020-07-14 13:07:42",-1,-1
1594709564.844691,1594486948.606421,out1,1,"2020-07-14 13:07:44",-1,-1
1594709574.538460,1594670349.398127,in,1,"2020-07-14 13:07:54",1,1
1594709575.175461,1594670350.514070,in,1,"2020-07-14 13:07:55",0,1
1594709586.473261,1594670361.562281,in,3,"2020-07-14 13:07:06",1,1
1594709590.692772,1594709590.389000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709590.944100,1594709590.730000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709591.069083,1594709591.068000,sys,1,"2020-07-14 13:07:11",-1,-1
1594709591.690489,1594709591.386000,sys,1,"2020-07-14 13:07:11",-1,-1
1594709591.940122,1594709591.695000,sys,1,"2020-07-14 13:07:11",-1,-1
1594709594.373970,1594486977.828561,out1,1,"2020-07-14 13:07:14",-1,-1
1594709608.431269,1594709608.430000,sys,1,"2020-07-14 13:07:28",-1,-1
1594709612.008659,1594670387.058861,in,3,"2020-07-14 13:07:32",1,1
1594709613.252618,1594709612.949000,sys,1,"2020-07-14 13:07:33",-1,-1
1594709613.274562,1594486997.026031,out1,1,"2020-07-14 13:07:33",-1,-1
1594709614.331429,1594486998.098697,out1,1,"2020-07-14 13:07:34",-1,-1
1594709619.019541,1594670393.919443,in,1,"2020-07-14 13:07:39",1,1
